year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,RJ Barrett,SG,19,NYK,50,1520,10.0,.469,.266,.345,3.2,14.8,8.8,12.4,1.4,1.0,12.8,23.6,,-1.7,0.9,-0.8,-0.025,,-3.1,-1.6,-4.7,-1.0
2020,Will Barton,SF,29,DEN,52,1714,15.7,.544,.369,.186,4.8,16.6,10.7,16.6,1.6,1.4,9.9,19.9,,2.2,1.9,4.1,.116,,1.3,0.1,1.4,1.5
2020,Keita Bates-Diop,SF,24,TOT,39,665,12.6,.541,.452,.332,3.2,14.9,8.9,6.5,1.2,2.6,5.5,15.6,,0.6,0.5,1.1,.081,,-0.7,-0.1,-0.8,0.2
2020,Keita Bates-Diop,SF,24,MIN,37,646,12.5,.535,.456,.316,3.3,15.0,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,.077,,-0.7,-0.1,-0.8,0.2
2020,Keita Bates-Diop,SF,24,DEN,2,19,15.9,.931,.000,2.000,0.0,11.7,5.8,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,.219,,0.0,0.1,0.1,0.0
2020,Nicolas Batum,SF,31,CHO,22,505,9.1,.463,.605,.123,5.2,16.7,10.7,18.3,1.7,1.4,20.5,9.3,,0.2,0.4,0.6,.054,,-2.8,0.8,-1.9,0.0
2020,Aron Baynes,C,33,PHO,39,831,14.8,.578,.415,.201,8.1,20.5,14.2,11.8,0.5,2.1,11.0,20.5,,1.1,0.7,1.8,.104,,-0.4,-0.6,-1.0,0.2
2020,Kent Bazemore,SF-SG,30,TOT,59,1464,9.0,.492,.474,.279,1.6,16.2,8.9,7.1,2.1,2.2,13.1,17.2,,-0.9,1.4,0.5,.016,,-3.5,0.5,-3.0,-0.4
2020,Kent Bazemore,SF,30,POR,43,1111,7.6,.475,.525,.221,1.2,14.7,8.0,7.2,1.9,2.4,14.4,15.9,,-1.0,0.9,-0.1,-0.005,,-3.6,0.4,-3.2,-0.3
2020,Kent Bazemore,SG,30,SAC,16,353,13.6,.532,.346,.423,2.8,21.0,11.6,6.7,2.8,1.9,9.9,21.2,,0.1,0.5,0.6,.079,,-3.0,0.6,-2.4,0.0
2020,Darius Bazley,PF,19,OKC,53,909,8.2,.475,.435,.204,2.6,20.6,11.9,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,.019,,-3.1,0.7,-2.4,-0.1
2020,Bradley Beal,SG,26,WAS,51,1829,23.0,.579,.364,.354,2.8,10.7,6.6,28.5,1.5,0.9,11.5,34.2,,4.2,0.3,4.5,.118,,5.2,-2.6,2.7,2.1
2020,Malik Beasley,SG,23,TOT,49,1017,12.0,.531,.539,.130,1.6,11.7,6.6,9.7,1.8,0.7,9.4,21.5,,0.2,0.9,1.1,.050,,-1.2,-1.2,-2.4,-0.1
2020,Malik Beasley,SG,23,DEN,41,746,10.5,.511,.535,.126,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.6,,-0.1,0.7,0.6,.039,,-2.2,-0.6,-2.7,-0.2
2020,Malik Beasley,SG,23,MIN,8,271,16.0,.573,.547,.137,2.3,16.1,8.9,11.1,1.0,0.6,7.5,24.2,,0.3,0.1,0.5,.080,,1.4,-2.7,-1.3,0.0
2020,Marco Belinelli,SG,33,SAS,50,752,9.9,.509,.565,.156,0.6,11.7,6.1,11.4,0.6,0.1,5.1,17.0,,0.4,0.1,0.5,.032,,-1.3,-1.9,-3.2,-0.2
2020,Jordan Bell,C-PF,25,TOT,29,256,14.0,.577,.179,.463,12.0,21.7,16.7,9.0,0.5,3.2,20.7,16.4,,0.2,0.2,0.4,.070,,-1.3,-1.1,-2.5,0.0
2020,Jordan Bell,C,25,MIN,27,235,14.1,.570,.150,.483,12.1,23.2,17.5,8.6,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,.072,,-1.4,-1.1,-2.5,0.0
2020,Jordan Bell,PF,25,MEM,2,21,12.6,.635,.429,.286,10.2,5.0,7.5,12.7,2.2,0.0,27.6,21.6,,0.0,0.0,0.0,.041,,-0.6,-1.3,-2.0,0.0
2020,DeAndre' Bembry,SG,25,ATL,43,915,9.6,.500,.285,.211,4.0,14.0,8.9,12.2,2.8,1.7,19.4,14.0,,-0.5,0.8,0.2,.012,,-3.4,1.0,-2.4,-0.1
2020,Dragan Bender,SF,22,TOT,11,189,7.2,.479,.531,.102,3.3,19.9,11.8,12.7,1.0,4.2,21.5,14.5,,-0.2,0.3,0.1,.018,,-4.9,1.5,-3.3,-0.1
2020,Dragan Bender,SF,22,MIL,7,91,8.5,.582,.429,.143,0.0,20.3,10.8,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.111,,-4.2,2.8,-1.4,0.0
2020,Dragan Bender,SF,22,GSW,4,98,6.1,.398,.607,.071,6.4,19.5,12.7,13.1,1.9,3.7,23.8,16.5,,-0.2,0.1,-0.1,-0.069,,-5.5,0.3,-5.2,-0.1
2020,Dāvis Bertāns,PF,27,WAS,48,1412,15.2,.619,.763,.194,2.4,15.2,8.6,8.3,1.2,1.9,7.8,18.3,,2.6,0.4,3.0,.103,,2.5,-1.8,0.7,1.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Patrick Beverley,PG,31,LAC,43,1185,13.0,.559,.611,.126,4.8,15.9,10.5,18.7,2.0,1.8,15.0,13.1,,1.5,1.8,3.4,.136,,-0.2,2.8,2.6,1.4
2020,Khem Birch,C,27,ORL,38,773,10.3,.537,.009,.593,9.3,15.7,12.4,6.2,1.0,2.4,13.9,9.3,,0.7,0.8,1.6,.097,,-3.3,0.4,-2.9,-0.2
2020,Goga Bitadze,C,20,IND,46,393,11.9,.524,.261,.261,6.2,19.8,13.1,7.3,0.6,6.9,15.3,17.5,,-0.1,0.6,0.5,.066,,-4.2,1.4,-2.8,-0.1
2020,Bismack Biyombo,C,27,CHO,50,961,16.2,.571,.000,.548,12.5,20.6,16.4,7.7,0.5,4.3,12.6,17.0,,1.4,0.8,2.2,.111,,-1.8,-0.8,-2.6,-0.1
2020,Nemanja Bjelica,PF,31,SAC,59,1687,16.0,.604,.488,.117,6.4,19.3,12.7,14.7,1.4,1.8,12.6,17.5,,3.0,1.7,4.6,.132,,1.5,0.4,1.9,1.7
2020,Eric Bledsoe,PG,30,MIL,51,1390,18.7,.582,.313,.294,3.0,13.8,8.7,28.6,1.5,1.6,15.3,24.1,,2.5,2.7,5.2,.180,,1.5,1.0,2.6,1.6
