player_name,screen_name,followers_count,statuses_count
Gordon Hayward,gordonhayward,662829,2688
John Henson,Johnhenson31,117269,12592
Willy Hernangómez,willyhg94,75693,6463
Tyler Herro,raf_tyler,148833,2719
Mario Hezonja,mariohezonja,20034,2209
Buddy Hield,buddyhield,124949,8243
George Hill,George_Hill3,242557,13351
Solomon Hill,solohill,29420,726
Jaylen Hoard,JaylenHoard,2791,1455
Aaron Holiday,The_4th_Holiday,12707,959
Jrue Holiday,Jrue_Holiday11,142552,3486
Justin Holiday,JustHolla7,28564,5446
Rondae Hollis-Jefferson,IAmCHAP24,62099,9823
Rodney Hood,rodneyhood,49774,107
Al Horford,Al_Horford,358686,4450
Danuel House,DanuelHouseJr,14367,6306
Dwight Howard,DwightHoward,6615216,23508
Kevin Huerter,KevinHuerter,20603,3619
De'Andre Hunter,DreHunter,10577,50
Chandler Hutchison,CmoHutchison,11647,923
Serge Ibaka,sergeibaka,921659,7124
Joe Ingles,Joeingles7,177653,16140
Brandon Ingram,B_Ingram13,363355,386
Kyrie Irving,KyrieIrving,4291018,3956
Jonathan Isaac,JJudahIsaac,24533,6149
Wesley Iwundu,_Iwundu25,12104,24422
Jaren Jackson,JarenSrJackson,1611,1324
Justin Jackson,JJacks_44,99052,2108
Reggie Jackson,Reggie_Jackson,111992,5102
Justin James,jamesjustin98,10568,407
LeBron James,KingJames,45323298,6889
Ty Jerome,tyjerome_,13620,113
James Johnson,dailyecho_jj,1087,1461
Stanley Johnson,iAmSJ,62669,8075
Tyler Johnson,RealTJohnson,22645,296
Damian Jones,dameology,22345,1323
Derrick Jones,TheRea1DJones,24130,655
Tyus Jones,1Tyus,157262,7993
Cory Joseph,Cory_Joe,115343,831
Mfiondu Kabengele,Mfiondu,5082,1366
Frank Kaminsky,FSKPart3,225094,7015
Enes Kanter,EnesKanter,507677,8870
Luke Kennard,LukeKennard5,90547,4092
Michael Kidd-Gilchrist,MKG14,324968,4851
Maxi Kleber,MaxiKleber,10387,17
Brandon Knight,Goodknight11,217606,1502
Kevin Knox,KevKnox,92283,2627
Furkan Korkmaz,FurkanKorkmaz,79728,983
Luke Kornet,bigshin32,8465,18271
Kyle Korver,KyleKorver,243379,2621
Rodions Kurucs,RODIONS1,8468,2477
Kyle Kuzma,kylekuzma,929853,14821
Skal Labissière,OneBigHaitian,44197,2756
Jeremy Lamb,jlamb,51559,3333
Romeo Langford,yeahyeah22,57683,5103
Zach LaVine,ZachLaVine,322738,3387
Jake Layman,JLayman10,18032,287
T.J. Leaf,leafsquad22,21840,1385
Damion Lee,Dami0nLee,13096,5
Alex Len,alexlen,16529,370
Kawhi Leonard,kawhileonard,423313,4
Meyers Leonard,MeyersLeonard,145773,9767
Caris LeVert,CarisLeVert,41052,481
Damian Lillard,Dame_Lillard,1944075,22036
Nassir Little,2ez_nassie,42670,8239
Kevon Looney,Loon_Rebel5,44594,1979
Robin Lopez,rolopez42,156519,2048
Kevin Love,kevinlove,3230153,2154
Kyle Lowry,Klow7,875357,7195
Timothé Luwawu-Cabarrot,timcabs,23222,229
Trey Lyles,TreyLyles,112100,13993
Ian Mahinmi,ianmahinmi,45351,2845
Thon Maker,ThonMaker14,49480,831
Terance Mann,terance_mann,7708,1070
Lauri Markkanen,MarkkanenLauri,108665,690
Cody Martin,zagsbaseball32,3181,1060
Kelan Martin,kelan30_,6893,14270
Garrison Mathews,gmathews_24,2210,1537
Wesley Matthews,WessyWes23,265284,6488
Patrick McCaw,PMcCaw0,46794,1084
CJ McCollum,CJMcCollum,368636,18542
Doug McDermott,dougmcdermott,148119,4276
JaVale McGee,JaValeMcGee,311302,12072
Rodney McGruder,RodneyMcGruder,7743,136
Alfonzo McKinnie,_Alvo_,14653,946
Jordan McLaughlin,itsmclaughlin11,5359,30605
Ben McLemore,BenMcLemore,101454,2590
Jordan McRae,JordyMac52,28880,5936
Nicolò Melli,NikMelli,33995,272
De'Anthony Melton,DeAnthonyMelton,6814,4816
Khris Middleton,Khris22m,51891,2780
Malcolm Miller,MalcMili13,9250,16647
Patty Mills,Patty_Mills,412954,16642
Paul Millsap,Paulmillsap4,67410,556
Shake Milton,SniperShake,13532,197
Donovan Mitchell,spidadmitchell,635607,6310
Malik Monk,AhmadMonk,102019,201
